GEO_ID,NAME,B13002_002E
47001,"Anderson County, Tennessee",838
47003,"Bedford County, Tennessee",672
47005,"Benton County, Tennessee",143
47007,"Bledsoe County, Tennessee",74
47009,"Blount County, Tennessee",1379
47011,"Bradley County, Tennessee",1107
47013,"Campbell County, Tennessee",471
47015,"Cannon County, Tennessee",203
47017,"Carroll County, Tennessee",275
47019,"Carter County, Tennessee",283
47021,"Cheatham County, Tennessee",483
47023,"Chester County, Tennessee",147
47025,"Claiborne County, Tennessee",449
47027,"Clay County, Tennessee",111
47029,"Cocke County, Tennessee",155
47031,"Coffee County, Tennessee",323
47033,"Crockett County, Tennessee",159
47035,"Cumberland County, Tennessee",458
47037,"Davidson County, Tennessee",10632
47039,"Decatur County, Tennessee",146
47041,"DeKalb County, Tennessee",260
47043,"Dickson County, Tennessee",630
47045,"Dyer County, Tennessee",381
47047,"Fayette County, Tennessee",431
47049,"Fentress County, Tennessee",109
47051,"Franklin County, Tennessee",561
47053,"Gibson County, Tennessee",704
47055,"Giles County, Tennessee",298
47057,"Grainger County, Tennessee",152
47059,"Greene County, Tennessee",590
47061,"Grundy County, Tennessee",170
47063,"Hamblen County, Tennessee",552
47065,"Hamilton County, Tennessee",4153
47067,"Hancock County, Tennessee",96
47069,"Hardeman County, Tennessee",288
47071,"Hardin County, Tennessee",392
47073,"Hawkins County, Tennessee",687
47075,"Haywood County, Tennessee",163
47077,"Henderson County, Tennessee",417
47079,"Henry County, Tennessee",276
47081,"Hickman County, Tennessee",300
47083,"Houston County, Tennessee",51
47085,"Humphreys County, Tennessee",240
47087,"Jackson County, Tennessee",88
47089,"Jefferson County, Tennessee",591
47091,"Johnson County, Tennessee",194
47093,"Knox County, Tennessee",4868
47095,"Lake County, Tennessee",107
47097,"Lauderdale County, Tennessee",380
47099,"Lawrence County, Tennessee",602
47101,"Lewis County, Tennessee",83
47103,"Lincoln County, Tennessee",449
47105,"Loudon County, Tennessee",450
47107,"McMinn County, Tennessee",707
47109,"McNairy County, Tennessee",325
47111,"Macon County, Tennessee",431
47113,"Madison County, Tennessee",1652
47115,"Marion County, Tennessee",422
47117,"Marshall County, Tennessee",448
47119,"Maury County, Tennessee",974
47121,"Meigs County, Tennessee",176
47123,"Monroe County, Tennessee",501
47125,"Montgomery County, Tennessee",3463
47127,"Moore County, Tennessee",117
47129,"Morgan County, Tennessee",202
47131,"Obion County, Tennessee",338
47133,"Overton County, Tennessee",355
47135,"Perry County, Tennessee",62
47137,"Pickett County, Tennessee",12
47139,"Polk County, Tennessee",145
47141,"Putnam County, Tennessee",809
47143,"Rhea County, Tennessee",469
47145,"Roane County, Tennessee",673
47147,"Robertson County, Tennessee",887
47149,"Rutherford County, Tennessee",4423
47151,"Scott County, Tennessee",198
47153,"Sequatchie County, Tennessee",151
47155,"Sevier County, Tennessee",886
47157,"Shelby County, Tennessee",12003
47159,"Smith County, Tennessee",338
47161,"Stewart County, Tennessee",190
47163,"Sullivan County, Tennessee",1592
47165,"Sumner County, Tennessee",1914
47167,"Tipton County, Tennessee",1134
47169,"Trousdale County, Tennessee",127
47171,"Unicoi County, Tennessee",130
47173,"Union County, Tennessee",128
47175,"Van Buren County, Tennessee",30
47177,"Warren County, Tennessee",553
47179,"Washington County, Tennessee",1109
47181,"Wayne County, Tennessee",143
47183,"Weakley County, Tennessee",463
47185,"White County, Tennessee",243
47187,"Williamson County, Tennessee",2326
47189,"Wilson County, Tennessee",1659
47191,,
